meilleures solutions trouvées par les differents algorithmes
n \ méthode 	 	marche aléatoire	 	 	Recuit simulé	 	 	Méthode Tabou	 	
 	meilleure fitness	meilleure solution	itération	meilleure fitness moyenne	meilleure fitness	meilleure solution	itération	meilleure fitness moyenne	meilleure fitness	meilleure solution	itération	meilleure fitness moyenne	
12	258380	Config( 4, 10, 11, 7, 9, 3, 12, 2, 8, 1, 6, 5 )	878	264709	224416	Config( 8, 1, 6, 2, 11, 10, 3, 5, 9, 7, 12, 4 )	704	238448	237330	Config( 4, 9, 11, 7, 1, 8, 12, 10, 5, 3, 6, 2 )	55	237330	
15	430754	Config( 6, 10, 1, 4, 2, 13, 9, 12, 8, 14, 7, 5, 15, 11, 3 )	792	439388	406200	Config( 7, 4, 5, 15, 6, 14, 10, 1, 3, 2, 8, 13, 9, 11, 12 )	798	408139	392980	Config( 10, 2, 6, 4, 5, 13, 7, 1, 15, 12, 9, 14, 11, 3, 8 )	95	392980	
17	559888	Config( 13, 7, 9, 10, 12, 3, 5, 16, 8, 2, 14, 6, 15, 4, 17, 1, 11 )	436	571366	514978	Config( 17, 13, 8, 6, 1, 3, 10, 5, 11, 15, 4, 2, 14, 7, 16, 12, 9 )	659	521358	501578	Config( 10, 17, 5, 7, 9, 12, 6, 8, 4, 2, 11, 15, 13, 1, 16, 3, 14 )	543	501578	
20	810636	Config( 20, 8, 12, 9, 17, 1, 15, 3, 11, 7, 2, 10, 16, 18, 13, 14, 19, 6, 4, 5 )	867	825036	742358	Config( 13, 8, 4, 5, 2, 14, 15, 1, 10, 20, 19, 16, 18, 7, 17, 9, 12, 3, 11, 6 )	468	752234	709642	Config( 7, 15, 13, 17, 11, 5, 3, 12, 10, 8, 6, 9, 4, 16, 18, 1, 14, 20, 19, 2 )	492	709642	
25	1356980	Config( 24, 20, 11, 17, 25, 14, 6, 15, 1, 4, 10, 16, 8, 21, 5, 23, 13, 9, 3, 2, 19, 12, 22, 7, 18 )	675	1362877	1228380	Config( 2, 22, 17, 19, 12, 1, 13, 3, 24, 18, 23, 14, 11, 7, 16, 21, 9, 15, 4, 10, 6, 5, 25, 8, 20 )	766	1245781	1187470	Config( 22, 19, 3, 23, 8, 25, 13, 10, 5, 14, 4, 12, 21, 2, 17, 6, 18, 1, 15, 7, 20, 11, 24, 16, 9 )	646	1187470	
30	2049838	Config( 25, 26, 16, 5, 6, 9, 11, 15, 17, 22, 30, 7, 3, 4, 8, 19, 12, 28, 24, 23, 2, 14, 18, 29, 20, 21, 27, 1, 10, 13 )	427	2083636	1914044	Config( 21, 24, 19, 5, 4, 14, 2, 3, 26, 15, 10, 11, 17, 12, 20, 23, 27, 1, 9, 6, 29, 18, 8, 13, 7, 30, 16, 28, 25, 22 )	924	1942583	1855964	Config( 21, 8, 13, 16, 22, 19, 24, 15, 11, 9, 27, 25, 12, 4, 20, 30, 18, 10, 3, 28, 5, 29, 17, 2, 1, 26, 7, 23, 6, 14 )	499	1855964	
35	2801354	Config( 20, 12, 15, 10, 22, 29, 32, 33, 14, 3, 17, 25, 30, 24, 34, 27, 18, 11, 23, 5, 8, 7, 35, 28, 4, 16, 26, 19, 6, 9, 21, 31, 13, 2, 1 )	159	2811800	2572776	Config( 32, 8, 28, 30, 18, 3, 26, 6, 14, 25, 7, 33, 27, 4, 21, 15, 9, 23, 20, 16, 5, 35, 29, 2, 10, 13, 31, 22, 1, 34, 11, 12, 24, 17, 19 )	947	2608998	2457506	Config( 10, 23, 7, 15, 12, 24, 9, 21, 25, 8, 3, 22, 35, 18, 17, 28, 27, 33, 5, 14, 30, 32, 34, 16, 4, 26, 11, 20, 19, 6, 13, 1, 2, 31, 29 )	583	2457506	
40	3613812	Config( 38, 11, 17, 21, 5, 4, 12, 13, 22, 23, 39, 28, 24, 32, 18, 10, 19, 27, 31, 36, 20, 30, 8, 3, 40, 1, 2, 35, 15, 7, 26, 25, 33, 9, 34, 14, 29, 6, 37, 16 )	151	3635593	3351494	Config( 22, 3, 16, 6, 34, 35, 36, 25, 12, 10, 18, 29, 4, 28, 11, 2, 7, 31, 26, 40, 20, 23, 13, 33, 14, 9, 15, 27, 39, 5, 37, 19, 21, 38, 1, 17, 32, 30, 24, 8 )	983	3399811	3201894	Config( 34, 6, 24, 7, 8, 40, 3, 15, 10, 1, 28, 25, 11, 2, 30, 36, 31, 4, 37, 23, 22, 5, 35, 39, 16, 13, 29, 33, 14, 18, 38, 12, 19, 21, 20, 26, 32, 27, 9, 17 )	357	3201894	
50	5703146	Config( 26, 9, 8, 18, 3, 22, 4, 35, 6, 10, 27, 13, 43, 16, 19, 31, 37, 21, 50, 38, 11, 1, 24, 5, 46, 48, 20, 25, 2, 28, 36, 39, 12, 32, 49, 45, 41, 15, 40, 29, 7, 23, 44, 34, 42, 17, 47, 14, 33, 30 )	0	5711575	5357550	Config( 3, 42, 41, 16, 22, 33, 4, 17, 1, 19, 9, 14, 43, 36, 32, 11, 47, 39, 8, 44, 7, 2, 18, 35, 26, 38, 50, 6, 37, 12, 10, 34, 31, 49, 24, 20, 25, 21, 29, 13, 46, 40, 48, 27, 28, 30, 5, 15, 45, 23 )	964	5366799	5030830	Config( 41, 4, 26, 8, 19, 48, 21, 20, 18, 14, 49, 39, 37, 16, 43, 27, 1, 31, 50, 6, 45, 40, 3, 38, 47, 12, 32, 5, 23, 2, 30, 10, 24, 13, 9, 25, 44, 28, 36, 22, 34, 35, 17, 33, 42, 46, 15, 11, 29, 7 )	721	5030830	
60	8277780	Config( 56, 30, 46, 4, 9, 50, 37, 6, 38, 8, 57, 7, 44, 10, 54, 58, 2, 15, 41, 25, 42, 19, 11, 28, 45, 20, 35, 17, 53, 5, 18, 24, 1, 60, 3, 47, 40, 34, 51, 36, 55, 23, 13, 31, 33, 59, 52, 16, 39, 21, 32, 49, 22, 14, 29, 48, 43, 12, 26, 27 )	291	8324981	7800106	Config( 52, 13, 17, 54, 36, 48, 43, 31, 9, 27, 51, 3, 10, 45, 29, 18, 28, 34, 46, 11, 44, 58, 50, 53, 57, 21, 32, 35, 25, 42, 20, 47, 30, 15, 56, 6, 16, 37, 2, 40, 7, 41, 49, 55, 4, 23, 12, 26, 22, 39, 19, 59, 5, 60, 1, 24, 8, 14, 38, 33 )	985	7843825	7333910	Config( 55, 23, 7, 4, 28, 8, 59, 25, 19, 2, 16, 44, 26, 48, 33, 11, 60, 53, 21, 15, 45, 14, 5, 9, 57, 1, 50, 17, 51, 27, 39, 13, 20, 34, 32, 3, 58, 10, 54, 6, 18, 36, 12, 24, 35, 49, 22, 52, 47, 56, 31, 46, 40, 38, 42, 43, 41, 37, 30, 29 )	142	7333910	
80	15344662	Config( 10, 14, 1, 69, 77, 76, 63, 47, 13, 7, 73, 32, 44, 55, 56, 65, 26, 17, 31, 15, 39, 57, 8, 30, 33, 49, 70, 28, 23, 37, 62, 4, 12, 24, 22, 45, 53, 80, 54, 9, 59, 51, 72, 29, 25, 3, 46, 64, 6, 42, 68, 27, 48, 2, 38, 79, 11, 20, 5, 19, 71, 52, 43, 21, 16, 50, 78, 58, 18, 34, 74, 35, 60, 40, 67, 75, 41, 36, 61, 66 )	723	15381382	14532740	Config( 5, 27, 76, 22, 38, 24, 19, 58, 12, 28, 21, 23, 37, 73, 32, 45, 70, 51, 11, 20, 80, 14, 64, 9, 36, 8, 66, 72, 26, 65, 33, 7, 47, 56, 29, 13, 44, 50, 53, 67, 52, 31, 63, 60, 2, 77, 4, 40, 15, 10, 46, 16, 3, 25, 30, 69, 59, 6, 39, 71, 68, 74, 57, 48, 17, 34, 18, 78, 42, 62, 79, 1, 61, 43, 54, 75, 41, 55, 35, 49 )	967	14644157	13820838	Config( 47, 7, 63, 66, 72, 80, 6, 67, 54, 4, 8, 35, 79, 1, 31, 55, 26, 48, 19, 39, 13, 64, 78, 69, 20, 32, 12, 10, 75, 46, 62, 3, 28, 24, 61, 73, 40, 15, 77, 56, 71, 22, 49, 42, 34, 30, 57, 23, 76, 33, 45, 68, 14, 9, 38, 53, 44, 58, 37, 41, 27, 36, 43, 5, 29, 59, 25, 18, 16, 50, 11, 21, 2, 17, 60, 65, 51, 70, 74, 52 )	523	13820838	
