Algorithme de marche aléatoire sur 	./data/test.txt 
nbMaxSteps=30

step	configuration	fitness
0	Config( 2, 1, 3 )	16
1	Config( 1, 2, 3 )	14
2	Config( 1, 3, 2 )	18
3	Config( 3, 1, 2 )	16
4	Config( 2, 1, 3 )	16
5	Config( 2, 3, 1 )	18
6	Config( 1, 3, 2 )	18
7	Config( 2, 3, 1 )	18
8	Config( 3, 2, 1 )	14
9	Config( 2, 3, 1 )	18
10	Config( 2, 1, 3 )	16
11	Config( 2, 3, 1 )	18
12	Config( 3, 2, 1 )	14
13	Config( 3, 1, 2 )	16
14	Config( 2, 1, 3 )	16
15	Config( 1, 2, 3 )	14
16	Config( 2, 1, 3 )	16
17	Config( 2, 3, 1 )	18
18	Config( 3, 2, 1 )	14
19	Config( 1, 2, 3 )	14
20	Config( 1, 3, 2 )	18
21	Config( 1, 2, 3 )	14
22	Config( 2, 1, 3 )	16
23	Config( 3, 1, 2 )	16
24	Config( 1, 3, 2 )	18
25	Config( 3, 1, 2 )	16
26	Config( 1, 3, 2 )	18
27	Config( 1, 2, 3 )	14
28	Config( 1, 3, 2 )	18
29	Config( 3, 1, 2 )	16
